x,y,,,,
10.20843275,116.9383282,,1.008959072,-9.932043119,-1
10.31830665,890.9599053,,1.01360843,-9.05014184,-1
10.54161491,1483.987943,,1.022907147,-8.828569627,-1
11.07035013,2029.76144,,1.044161357,-8.692555002,-1
11.22377891,2979.700425,,1.050139103,-8.525827397,-1
11.82283698,4352.17574,,1.072721701,-8.361293576,-1
12.24611023,5631.050497,,1.087998164,-8.249410578,-1
13.05853071,9053.263148,,1.115894315,-8.043194856,-1
13.65073206,11537.36917,,1.135155942,-7.937893211,-1
14.35735193,14703.08388,,1.157074346,-7.832591565,-1
15.16999131,16348.49973,,1.180985332,-7.786522095,-1
15.88221802,16936.91837,,1.200911153,-7.771165605,-1
16.50121811,22588.12063,,1.217516005,-7.646119902,-1
17.70389932,26284.13122,,1.248068931,-7.580306373,-1
18.14245423,33496.17925,,1.258696036,-7.475004728,-1
20.31638322,45354.70314,,1.307846396,-7.343377671,-1
21.79713041,59879.81694,,1.338399323,-7.222719536,-1
23.63750356,81902.10977,,1.373601607,-7.086704911,-1
25.7117881,97248.68884,,1.41013228,-7.012116245,-1
27.84007309,117234.0512,,1.444670371,-6.930946227,-1
30.42241078,141326.561,,1.483193626,-6.849776209,-1
31.3673267,173847.6989,,1.496477507,-6.759831053,-1
33.09209779,197248.4293,,1.519724299,-6.704986446,-1
35.99606041,289561.7273,,1.556254972,-6.538258841,-1
37.68606507,352613.3458,,1.576180794,-6.452701254,-1
39.81913115,410310.1627,,1.60009178,-6.386887726,-1
40.80551697,547214.98,,1.610718884,-6.261842022,-1
41.43437811,870935.7771,,1.617360825,-6.060013869,-1
42.59085102,988167.8913,,1.629316318,-6.005169262,-1
45.97545337,1246650.785,,1.662526021,-5.904255185,-1
48.65205629,1556938.017,,1.687101201,-5.807728677,-1
53.65492844,2367856.713,,1.72960962,-5.625644582,-1
57.21445563,2811538.816,,1.75750577,-5.551055916,-1
60.73084701,3582991.097,,1.783409338,-5.445754271,-1
63.58214276,4566120.564,,1.80333516,-5.340452626,-1
68.63487744,4900725.239,,1.836544863,-5.309739646,-1
72.07739336,6340789.743,,1.857799072,-5.197856648,-1
77.56760581,8080625.837,,1.889680387,-5.092555002,-1
80.34462906,9940086.259,,1.90495685,-5.002609847,-1
85.93723739,12667525.83,,1.934181388,-4.897308201,-1
88.06604508,15270800.97,,1.944808493,-4.816138183,-1
93.19308171,22645243.27,,1.969383673,-4.64502301,-1
,,,#NUM!,#NUM!,0.1
,,,#NUM!,#NUM!,0.1
,,,#NUM!,#NUM!,0.1
,,,#NUM!,#NUM!,0.1
,,,#NUM!,#NUM!,0.1
,,,#NUM!,#NUM!,0.1
,,,#NUM!,#NUM!,0.1
,,,#NUM!,#NUM!,0.1
,,,#NUM!,#NUM!,0.1
,,,#NUM!,#NUM!,0.1
,,,#NUM!,#NUM!,0.1
,,,#NUM!,#NUM!,0.1
